Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",118.000000,-6.000000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",124.000000,-6.000000,-90.000000,top
"D1","LED","LED_D3.0mm",110.870000,-245.520000,0.000000,top
"D2","LED","LED_D3.0mm",123.570000,-245.520000,0.000000,top
"D3","LED","LED_D3.0mm",161.670000,-245.520000,0.000000,top
"D4","LED","LED_D3.0mm",9.270000,-250.600000,0.000000,top
"D5","LED","LED_D3.0mm",60.070000,-250.600000,0.000000,top
"D6","LED","LED_D3.0mm",72.770000,-250.600000,0.000000,top
"J1","BUS","IDC-Header_2x32_P2.54mm_Vertical",26.000000,-8.000000,90.000000,top
"Q1","2N7000","TO-92_Inline_Wide",8.000000,-32.160000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",20.700000,-32.160000,0.000000,top
"Q3","2N7000","TO-92_Inline_Wide",33.400000,-32.160000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",33.400000,-37.240000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",46.100000,-32.160000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",58.800000,-32.160000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",58.800000,-37.240000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",71.500000,-32.160000,0.000000,top
"Q9","2N7000","TO-92_Inline_Wide",71.500000,-37.240000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",84.200000,-32.160000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",84.200000,-37.240000,0.000000,top
"Q12","2N7000","TO-92_Inline_Wide",96.900000,-32.160000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",109.600000,-32.160000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",109.600000,-37.240000,0.000000,top
"Q15","2N7000","TO-92_Inline_Wide",122.300000,-32.160000,0.000000,top
"Q16","2N7000","TO-92_Inline_Wide",135.000000,-32.160000,0.000000,top
"Q17","2N7000","TO-92_Inline_Wide",135.000000,-37.240000,0.000000,top
"Q18","2N7000","TO-92_Inline_Wide",147.700000,-32.160000,0.000000,top
"Q19","2N7000","TO-92_Inline_Wide",147.700000,-37.240000,0.000000,top
"Q20","2N7000","TO-92_Inline_Wide",160.400000,-32.160000,0.000000,top
"Q21","2N7000","TO-92_Inline_Wide",160.400000,-37.240000,0.000000,top
"Q22","2N7000","TO-92_Inline_Wide",173.100000,-32.160000,0.000000,top
"Q23","2N7000","TO-92_Inline_Wide",8.000000,-52.480000,0.000000,top
