"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"D23,D30,D46,D53,D54,D69,D71,D72,D80,D92-D95,D103,D115,D119,D124,D138,D150,D162-D164,D172,D177,D184,D186,D187,D195,D200,D207,D213,D220,D233,D245,D253,D259,D266,D280,D290,D299,D302,D318,D322,D343,D345,D347,D348,D356,D362,D368,D370,D371,D379,D386,D391,D393,D394,D402,D408,D409,D414,D417,D424,D437,D457,D460,D483,D506,D516,D519,D532,D544,D552,D562,D565,D579,D589,D598,D618,D620,D621,D644,D667,D963,D986,D1009,D1032","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp","87"
"D1036-D1054","LED","LED_THT:LED_D3.0mm","19"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"J2","LINK","Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical","1"
"Q1-Q592","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","592"
"R1-R23","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","23"
"R24,R28-R38,R40-R72,R74-R85,R87,R91-R121,R123-R126,R128-R131,R133-R136,R138-R170,R172-R232,R278,R280,R282,R284,R286,R288,R290,R292,R294,R296,R298,R300,R302,R304,R306,R308,R310,R312,R314,R316,R318,R320,R322,R324-R335","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","230"
"R25-R27,R88-R90,R171,R233-R277","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","52"
"R39,R73,R86,R122,R127,R132,R137,R279,R281,R283,R285,R287,R289,R291,R293,R295,R297,R299,R301,R303,R305,R307,R309,R311,R313,R315,R317,R319,R321,R323","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","30"
"R336-R354","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","19"
