Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",236.200000,-10.500000,90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",231.200000,-10.500000,90.000000,top
"D23","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",111.270000,-137.760000,-90.000000,top
"D30","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",113.810000,-56.480000,-90.000000,top
"D46","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",113.810000,-137.760000,-90.000000,top
"D53","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",116.350000,-56.480000,-90.000000,top
"D54","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",116.350000,-61.560000,-90.000000,top
"D69","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",116.350000,-137.760000,-90.000000,top
"D71","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",118.890000,-31.080000,-90.000000,top
"D72","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",118.890000,-36.160000,-90.000000,top
"D80","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",118.890000,-76.800000,-90.000000,top
"D92","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",118.890000,-137.760000,-90.000000,top
"D93","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",121.430000,-26.000000,-90.000000,top
"D94","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",121.430000,-31.080000,-90.000000,top
"D95","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",121.430000,-36.160000,-90.000000,top
"D103","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",121.430000,-76.800000,-90.000000,top
"D115","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",121.430000,-137.760000,-90.000000,top
"D119","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",123.970000,-41.240000,-90.000000,top
"D124","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",123.970000,-66.640000,-90.000000,top
"D138","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",123.970000,-137.760000,-90.000000,top
"D150","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",126.510000,-81.880000,-90.000000,top
"D162","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",129.050000,-26.000000,-90.000000,top
"D163","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",129.050000,-31.080000,-90.000000,top
"D164","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",129.050000,-36.160000,-90.000000,top
"D172","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",129.050000,-76.800000,-90.000000,top
"D177","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",129.050000,-102.200000,-90.000000,top
"D184","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",129.050000,-137.760000,-90.000000,top
"D186","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",131.590000,-31.080000,-90.000000,top
"D187","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",131.590000,-36.160000,-90.000000,top
"D195","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",131.590000,-76.800000,-90.000000,top
"D200","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",131.590000,-102.200000,-90.000000,top
"D207","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",131.590000,-137.760000,-90.000000,top
"D213","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",134.130000,-51.400000,-90.000000,top
"D220","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",134.130000,-86.960000,-90.000000,top
"D233","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",136.670000,-36.160000,-90.000000,top
"D245","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",136.670000,-97.120000,-90.000000,top
"D253","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",136.670000,-137.760000,-90.000000,top
"D259","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",139.210000,-51.400000,-90.000000,top
"D266","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",139.210000,-86.960000,-90.000000,top
"D280","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",141.750000,-41.240000,-90.000000,top
"D290","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",141.750000,-92.040000,-90.000000,top
"D299","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",141.750000,-137.760000,-90.000000,top
"D302","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",144.290000,-36.160000,-90.000000,top
"D318","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",144.290000,-117.440000,-90.000000,top
"D322","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",144.290000,-137.760000,-90.000000,top
"D343","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",146.830000,-127.600000,-90.000000,top
"D345","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",146.830000,-137.760000,-90.000000,top
"D347","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",149.370000,-31.080000,-90.000000,top
"D348","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",149.370000,-36.160000,-90.000000,top
"D356","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",149.370000,-76.800000,-90.000000,top
"D362","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",149.370000,-107.280000,-90.000000,top
"D368","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",149.370000,-137.760000,-90.000000,top
"D370","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",151.910000,-31.080000,-90.000000,top
"D371","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",151.910000,-36.160000,-90.000000,top
"D379","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",151.910000,-76.800000,-90.000000,top
"D386","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",151.910000,-112.360000,-90.000000,top
"D391","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",151.910000,-137.760000,-90.000000,top
"D393","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",154.450000,-31.080000,-90.000000,top
"D394","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",154.450000,-36.160000,-90.000000,top
"D402","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",154.450000,-76.800000,-90.000000,top
"D408","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",154.450000,-107.280000,-90.000000,top
"D409","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",154.450000,-112.360000,-90.000000,top
"D414","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",154.450000,-137.760000,-90.000000,top
"D417","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",156.990000,-36.160000,-90.000000,top
"D424","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",156.990000,-71.720000,-90.000000,top
"D437","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",156.990000,-137.760000,-90.000000,top
"D457","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",159.530000,-122.520000,-90.000000,top
"D460","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",159.530000,-137.760000,-90.000000,top
"D483","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",162.070000,-137.760000,-90.000000,top
"D506","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",164.610000,-137.760000,-90.000000,top
"D516","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",167.150000,-71.720000,-90.000000,top
"D519","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",167.150000,-86.960000,-90.000000,top
"D532","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",169.690000,-36.160000,-90.000000,top
"D544","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",169.690000,-97.120000,-90.000000,top
