"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"C3","47n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C4,C5","2.2u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2"
"D1,D2","LED","LED_THT:LED_D3.0mm","2"
"D3,D4","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"J2","SLOW","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"Q1-Q16","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","16"
"R1","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
"R2-R9,R12","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","9"
"R10,R11,R14","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","3"
"R13,R17,R21","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","3"
"R15,R18,R19","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","3"
"R16,R20","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"RV1","1M","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","1"
"SW1","RUN","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","1"
