Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",118.000000,-6.000000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",124.000000,-6.000000,-90.000000,top
"C3","47n","C_Disc_D5.0mm_W2.5mm_P2.50mm",96.000000,-110.000000,-90.000000,top
"C4","2.2u","CP_Radial_D5.0mm_P2.00mm",108.000000,-110.000000,-90.000000,top
"C5","2.2u","CP_Radial_D5.0mm_P2.00mm",108.000000,-132.000000,-90.000000,top
"D1","LED","LED_D3.0mm",72.770000,-52.480000,0.000000,top
"D2","LED","LED_D3.0mm",47.370000,-57.560000,0.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",108.000000,-124.000000,0.000000,top
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",102.000000,-116.000000,0.000000,top
"J1","BUS","IDC-Header_2x32_P2.54mm_Vertical",26.000000,-8.000000,90.000000,top
"J2","SLOW","PinHeader_1x02_P2.54mm_Vertical",102.000000,-110.000000,0.000000,top
"Q1","2N7000","TO-92_Inline_Wide",8.000000,-32.160000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",20.700000,-32.160000,0.000000,top
"Q3","2N7000","TO-92_Inline_Wide",33.400000,-32.160000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",46.100000,-32.160000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",46.100000,-37.240000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",58.800000,-32.160000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",71.500000,-32.160000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",8.000000,-52.480000,0.000000,top
"Q9","2N7000","TO-92_Inline_Wide",8.000000,-57.560000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",20.700000,-44.860000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",33.400000,-52.480000,0.000000,top
"Q12","2N7000","TO-92_Inline_Wide",58.800000,-52.480000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",71.500000,-57.560000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",46.100000,-62.640000,0.000000,top
"Q15","2N7000","TO-92_Inline_Wide",90.000000,-80.000000,0.000000,top
"Q16","2N7000","TO-92_Inline_Wide",102.000000,-80.000000,0.000000,top
"R1","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",10.540000,-22.000000,-90.000000,top
"R2","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",23.240000,-22.000000,-90.000000,top
"R3","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",35.940000,-22.000000,-90.000000,top
"R4","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",48.640000,-22.000000,-90.000000,top
"R5","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",61.340000,-22.000000,-90.000000,top
"R6","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",74.040000,-22.000000,-90.000000,top
"R7","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",10.540000,-42.320000,-90.000000,top
"R8","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",35.940000,-42.320000,-90.000000,top
"R9","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",61.340000,-42.320000,-90.000000,top
"R10","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",74.040000,-42.320000,-90.000000,top
"R11","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",48.640000,-47.400000,-90.000000,top
"R12","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",96.000000,-68.000000,-90.000000,top
"R13","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",108.000000,-68.000000,-90.000000,top
"R14","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",90.000000,-98.000000,-90.000000,top
"R15","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",90.000000,-110.000000,-90.000000,top
"R16","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",90.000000,-132.000000,-90.000000,top
"R17","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",96.000000,-132.000000,-90.000000,top
"R18","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",102.000000,-132.000000,-90.000000,top
"R19","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",120.000000,-132.000000,-90.000000,top
"R20","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",126.000000,-132.000000,-90.000000,top
"R21","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",114.000000,-132.000000,-90.000000,top
"RV1","1M","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",112.000000,-100.000000,0.000000,top
"SW1","RUN","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",96.000000,-124.000000,0.000000,top
