"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"C3,C4","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2"
"D1,D2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2"
"D3-D44","LED","LED_THT:LED_D3.0mm","42"
"J1","BUS","Connector_IDC:IDC-Header_2x25_P2.54mm_Vertical","1"
"Q1-Q50","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","50"
"R1-R23,R27,R28,R32","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","26"
"R24,R29","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"R25,R30","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"R26,R31,R33-R70","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","40"
"R71-R112","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","42"
"R113-R120","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","8"
"SW1","A3..A0 B3..B0","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW2","SUB EO AI AO BI BA AB OI","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW3","IO II PCE PCL FI HLT - -","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW4","DATA (closed = 1 on the bus)","Button_Switch_THT:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm","1"
"SW5","CLK","Button_Switch_THT:SW_PUSH_6mm","1"
"SW6","RST","Button_Switch_THT:SW_PUSH_6mm","1"
