Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",12.000000,-200.000000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",18.000000,-200.000000,-90.000000,top
"C3","1u","CP_Radial_D5.0mm_P2.00mm",155.000000,-138.000000,-90.000000,top
"C4","1u","CP_Radial_D5.0mm_P2.00mm",155.000000,-158.000000,-90.000000,top
"D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",150.000000,-147.000000,0.000000,top
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",150.000000,-167.000000,0.000000,top
"D3","LED","LED_D3.0mm",13.270000,-26.160000,0.000000,top
"D4","LED","LED_D3.0mm",28.510000,-26.160000,0.000000,top
"D5","LED","LED_D3.0mm",43.750000,-26.160000,0.000000,top
"D6","LED","LED_D3.0mm",58.990000,-26.160000,0.000000,top
"D7","LED","LED_D3.0mm",74.230000,-26.160000,0.000000,top
"D8","LED","LED_D3.0mm",89.470000,-26.160000,0.000000,top
"D9","LED","LED_D3.0mm",104.710000,-26.160000,0.000000,top
"D10","LED","LED_D3.0mm",119.950000,-26.160000,0.000000,top
"D11","LED","LED_D3.0mm",13.270000,-51.560000,0.000000,top
"D12","LED","LED_D3.0mm",28.510000,-51.560000,0.000000,top
"D13","LED","LED_D3.0mm",43.750000,-51.560000,0.000000,top
"D14","LED","LED_D3.0mm",58.990000,-51.560000,0.000000,top
"D15","LED","LED_D3.0mm",74.230000,-51.560000,0.000000,top
"D16","LED","LED_D3.0mm",89.470000,-51.560000,0.000000,top
"D17","LED","LED_D3.0mm",104.710000,-51.560000,0.000000,top
"D18","LED","LED_D3.0mm",119.950000,-51.560000,0.000000,top
"D19","LED","LED_D3.0mm",13.270000,-76.960000,0.000000,top
"D20","LED","LED_D3.0mm",28.510000,-76.960000,0.000000,top
"D21","LED","LED_D3.0mm",43.750000,-76.960000,0.000000,top
"D22","LED","LED_D3.0mm",58.990000,-76.960000,0.000000,top
"D23","LED","LED_D3.0mm",74.230000,-76.960000,0.000000,top
"D24","LED","LED_D3.0mm",89.470000,-76.960000,0.000000,top
"D25","LED","LED_D3.0mm",104.710000,-76.960000,0.000000,top
"D26","LED","LED_D3.0mm",119.950000,-76.960000,0.000000,top
"D27","LED","LED_D3.0mm",13.270000,-102.360000,0.000000,top
"D28","LED","LED_D3.0mm",28.510000,-102.360000,0.000000,top
"D29","LED","LED_D3.0mm",43.750000,-102.360000,0.000000,top
"D30","LED","LED_D3.0mm",58.990000,-102.360000,0.000000,top
"D31","LED","LED_D3.0mm",74.230000,-102.360000,0.000000,top
"D32","LED","LED_D3.0mm",89.470000,-102.360000,0.000000,top
"D33","LED","LED_D3.0mm",104.710000,-102.360000,0.000000,top
"D34","LED","LED_D3.0mm",119.950000,-102.360000,0.000000,top
"D35","LED","LED_D3.0mm",13.270000,-127.760000,0.000000,top
"D36","LED","LED_D3.0mm",28.510000,-127.760000,0.000000,top
"D37","LED","LED_D3.0mm",43.750000,-127.760000,0.000000,top
"D38","LED","LED_D3.0mm",58.990000,-127.760000,0.000000,top
"D39","LED","LED_D3.0mm",74.230000,-127.760000,0.000000,top
"D40","LED","LED_D3.0mm",89.470000,-127.760000,0.000000,top
"D41","LED","LED_D3.0mm",104.710000,-127.760000,0.000000,top
"D42","LED","LED_D3.0mm",119.950000,-127.760000,0.000000,top
"D43","LED","LED_D3.0mm",13.270000,-153.160000,0.000000,top
"D44","LED","LED_D3.0mm",28.510000,-153.160000,0.000000,top
"J1","BUS","IDC-Header_2x25_P2.54mm_Vertical",50.000000,-214.000000,90.000000,top
"Q1","2N7000","TO-92_Inline_Wide",12.000000,-31.240000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",27.240000,-31.240000,0.000000,top
"Q3","2N7000","TO-92_Inline_Wide",42.480000,-31.240000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",57.720000,-31.240000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",72.960000,-31.240000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",88.200000,-31.240000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",103.440000,-31.240000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",118.680000,-31.240000,0.000000,top
"Q9","2N7000","TO-92_Inline_Wide",12.000000,-56.640000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",27.240000,-56.640000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",42.480000,-56.640000,0.000000,top
"Q12","2N7000","TO-92_Inline_Wide",57.720000,-56.640000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",72.960000,-56.640000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",88.200000,-56.640000,0.000000,top
