"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","100u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"D1","LED","LED_THT:LED_D3.0mm","1"
"F1","750mA","Fuse:Fuse_BelFuse_0ZRE0075FF_L11.5mm_W4.8mm","1"
"J1","USB_B","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal","1"
"J2-J9","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","8"
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
"R2-R5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","4"
"R6-R13","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","8"
"TP1","BUS0#","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP2","BUS1#","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP3","BUS2#","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP4","BUS3#","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP5","CLK","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP6","RST","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
