Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",57.000000,-6.000000,-90.000000,top
"C2","100u","CP_Radial_D5.0mm_P2.00mm",62.000000,-7.000000,-90.000000,top
"D1","LED","LED_D3.0mm",50.000000,-8.000000,90.000000,top
"F1","750mA","Fuse_BelFuse_0ZRE0075FF_L11.5mm_W4.8mm",34.000000,-8.000000,0.000000,top
"J1","USB_B","USB_B_OST_USB-B1HSxx_Horizontal",18.000000,-14.000000,90.000000,top
"J2","BUS","IDC-Header_2x32_P2.54mm_Vertical",12.000000,-22.000000,0.000000,top
"J3","BUS","IDC-Header_2x32_P2.54mm_Vertical",27.000000,-22.000000,0.000000,top
"J4","BUS","IDC-Header_2x32_P2.54mm_Vertical",42.000000,-22.000000,0.000000,top
"J5","BUS","IDC-Header_2x32_P2.54mm_Vertical",57.000000,-22.000000,0.000000,top
"J6","BUS","IDC-Header_2x32_P2.54mm_Vertical",72.000000,-22.000000,0.000000,top
"J7","BUS","IDC-Header_2x32_P2.54mm_Vertical",87.000000,-22.000000,0.000000,top
"J8","BUS","IDC-Header_2x32_P2.54mm_Vertical",102.000000,-22.000000,0.000000,top
"J9","BUS","IDC-Header_2x32_P2.54mm_Vertical",117.000000,-22.000000,0.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",46.000000,-6.000000,-90.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",68.000000,-6.000000,-90.000000,top
"R3","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",72.000000,-6.000000,-90.000000,top
"R4","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",76.000000,-6.000000,-90.000000,top
"R5","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",80.000000,-6.000000,-90.000000,top
"R6","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",86.000000,-6.000000,-90.000000,top
"R7","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",90.000000,-6.000000,-90.000000,top
"R8","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",94.000000,-6.000000,-90.000000,top
"R9","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",98.000000,-6.000000,-90.000000,top
"R10","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",102.000000,-6.000000,-90.000000,top
"R11","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",106.000000,-6.000000,-90.000000,top
"R12","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",110.000000,-6.000000,-90.000000,top
"R13","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",114.000000,-6.000000,-90.000000,top
"TP1","BUS0#","TestPoint_Loop_D2.50mm_Drill1.0mm",120.000000,-7.000000,0.000000,top
"TP2","BUS1#","TestPoint_Loop_D2.50mm_Drill1.0mm",126.000000,-7.000000,0.000000,top
"TP3","BUS2#","TestPoint_Loop_D2.50mm_Drill1.0mm",132.000000,-7.000000,0.000000,top
"TP4","BUS3#","TestPoint_Loop_D2.50mm_Drill1.0mm",120.000000,-13.000000,0.000000,top
"TP5","CLK","TestPoint_Loop_D2.50mm_Drill1.0mm",126.000000,-13.000000,0.000000,top
"TP6","RST","TestPoint_Loop_D2.50mm_Drill1.0mm",132.000000,-13.000000,0.000000,top
