Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",95.000000,-16.500000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",95.000000,-26.000000,-90.000000,top
"C3","47n","C_Disc_D5.0mm_W2.5mm_P2.50mm",46.000000,-64.000000,-90.000000,top
"C4","2.2u","CP_Radial_D5.0mm_P2.00mm",58.000000,-64.000000,-90.000000,top
"C5","2.2n","C_Disc_D5.0mm_W2.5mm_P2.50mm",88.000000,-64.000000,-90.000000,top
"C6","2.2u","CP_Radial_D5.0mm_P2.00mm",58.000000,-86.000000,-90.000000,top
"D1","LED","LED_D3.0mm",11.540000,-52.195000,90.000000,top
"D2","LED","LED_D3.0mm",19.220000,-52.195000,90.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",58.000000,-78.000000,0.000000,top
"D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",52.000000,-70.000000,0.000000,top
"J1","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-7.500000,90.000000,top
"J2","SLOW","PinHeader_1x02_P2.54mm_Vertical",52.000000,-64.000000,0.000000,top
"Q1","2N7000","TO-92_Inline_Wide",9.000000,-20.445000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",21.760000,-19.810000,180.000000,top
"Q3","2N7000","TO-92_Inline_Wide",24.360000,-20.445000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",9.000000,-28.700000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",9.000000,-33.780000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",21.760000,-28.065000,180.000000,top
"Q7","2N7000","TO-92_Inline_Wide",24.360000,-28.700000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",21.760000,-36.320000,180.000000,top
"Q9","2N7000","TO-92_Inline_Wide",21.760000,-41.400000,180.000000,top
"Q10","2N7000","TO-92_Inline_Wide",24.360000,-33.780000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",9.000000,-42.035000,0.000000,top
"Q12","2N7000","TO-92_Inline_Wide",24.360000,-42.035000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",9.000000,-56.640000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",21.760000,-56.640000,180.000000,top
"Q15","2N7000","TO-92_Inline_Wide",40.000000,-34.000000,0.000000,top
"Q16","2N7000","TO-92_Inline_Wide",52.000000,-34.000000,0.000000,top
"R1","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-16.000000,0.000000,top
"R2","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-16.000000,0.000000,top
"R3","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-16.000000,0.000000,top
"R4","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-24.255000,0.000000,top
"R5","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-24.255000,0.000000,top
"R6","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-24.255000,0.000000,top
"R7","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-32.510000,0.000000,top
"R8","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-37.590000,0.000000,top
"R9","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-37.590000,0.000000,top
"R10","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-45.845000,0.000000,top
"R11","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-45.845000,0.000000,top
"R12","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",46.000000,-22.000000,-90.000000,top
"R13","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",58.000000,-22.000000,-90.000000,top
"R14","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",40.000000,-52.000000,-90.000000,top
"R15","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",40.000000,-64.000000,-90.000000,top
"R16","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",40.000000,-86.000000,-90.000000,top
"R17","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",46.000000,-86.000000,-90.000000,top
"R18","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",82.000000,-64.000000,-90.000000,top
"R19","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",52.000000,-86.000000,-90.000000,top
"R20","100k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",70.000000,-86.000000,-90.000000,top
"R21","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",76.000000,-86.000000,-90.000000,top
"R22","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",64.000000,-86.000000,-90.000000,top
"RV1","1M","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",62.000000,-54.000000,0.000000,top
"SW1","RUN","SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",46.000000,-78.000000,0.000000,top
