Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",95.000000,-16.500000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",95.000000,-26.000000,-90.000000,top
"D1","LED","LED_D3.0mm",26.900000,-76.960000,90.000000,top
"J1","IN N1 N2 N3","PinHeader_1x04_P2.54mm_Vertical",40.000000,-22.000000,0.000000,top
"J2","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-7.500000,90.000000,top
"Q1","2N7000","TO-92_Inline_Wide",9.000000,-20.445000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",21.760000,-19.810000,180.000000,top
"Q3","2N7000","TO-92_Inline_Wide",24.360000,-20.445000,0.000000,top
"Q4","2N7000","TO-92_Inline_Wide",9.000000,-28.700000,0.000000,top
"Q5","2N7000","TO-92_Inline_Wide",21.760000,-28.065000,180.000000,top
"Q6","2N7000","TO-92_Inline_Wide",24.360000,-28.700000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",9.000000,-36.955000,0.000000,top
"Q8","2N7000","TO-92_Inline_Wide",21.760000,-36.320000,180.000000,top
"Q9","2N7000","TO-92_Inline_Wide",24.360000,-36.955000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",9.000000,-45.210000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",21.760000,-44.575000,180.000000,top
"Q12","2N7000","TO-92_Inline_Wide",24.360000,-45.210000,0.000000,top
"Q13","2N7000","TO-92_Inline_Wide",9.000000,-53.465000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",21.760000,-52.830000,180.000000,top
"Q15","2N7000","TO-92_Inline_Wide",24.360000,-53.465000,0.000000,top
"Q16","2N7000","TO-92_Inline_Wide",9.000000,-61.720000,0.000000,top
"Q17","2N7000","TO-92_Inline_Wide",21.760000,-61.085000,180.000000,top
"Q18","2N7000","TO-92_Inline_Wide",24.360000,-61.720000,0.000000,top
"Q19","2N7000","TO-92_Inline_Wide",9.000000,-69.975000,0.000000,top
"Q20","2N7000","TO-92_Inline_Wide",9.000000,-75.055000,0.000000,top
"Q21","2N7000","TO-92_Inline_Wide",9.000000,-80.135000,0.000000,top
"Q22","2N7000","TO-92_Inline_Wide",21.760000,-69.340000,180.000000,top
"Q23","2N7000","TO-92_Inline_Wide",21.760000,-74.420000,180.000000,top
"Q24","2N7000","TO-92_Inline_Wide",21.760000,-79.500000,180.000000,top
"Q25","2N7000","TO-92_Inline_Wide",24.360000,-66.800000,0.000000,top
"Q26","2N7000","TO-92_Inline_Wide",24.360000,-81.405000,0.000000,top
"R1","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",46.000000,-36.000000,-90.000000,top
"R2","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",51.000000,-36.000000,-90.000000,top
"R3","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",56.000000,-36.000000,-90.000000,top
"R4","1Meg","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",61.000000,-36.000000,-90.000000,top
"R5","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",85.000000,-14.000000,-90.000000,top
"R6","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-16.000000,0.000000,top
"R7","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",16.680000,-16.000000,0.000000,top
"R8","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",24.360000,-16.000000,0.000000,top
"R9","47k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",9.000000,-24.255000,0.000000,top
