Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",57.000000,-14.000000,-90.000000,top
"C2","100u","CP_Radial_D5.0mm_P2.00mm",62.000000,-14.000000,-90.000000,top
"D1","LED","LED_D3.0mm",50.000000,-21.000000,90.000000,top
"F1","1.5A","Fuse_BelFuse_0ZRE0150FF_L23.4mm_W5.3mm",26.000000,-16.000000,0.000000,top
"J1","USB_B","USB_B_OST_USB-B1HSxx_Horizontal",14.000000,-30.000000,180.000000,top
"J2","BENCH 5V","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",12.000000,-62.000000,90.000000,top
"J3","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-7.500000,90.000000,top
"J4","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-93.000000,90.000000,top
"R1","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",46.000000,-14.000000,-90.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",68.000000,-14.000000,-90.000000,top
"R3","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",72.000000,-14.000000,-90.000000,top
"R4","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",76.000000,-14.000000,-90.000000,top
"R5","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",80.000000,-14.000000,-90.000000,top
"R6","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",50.000000,-40.000000,-90.000000,top
"R7","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",55.000000,-40.000000,-90.000000,top
"R8","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",60.000000,-40.000000,-90.000000,top
"R9","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",65.000000,-40.000000,-90.000000,top
"R10","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",70.000000,-40.000000,-90.000000,top
"R11","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",75.000000,-40.000000,-90.000000,top
"R12","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",80.000000,-40.000000,-90.000000,top
"R13","220k","R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical",85.000000,-40.000000,-90.000000,top
"TP1","BUS0#","TestPoint_Loop_D2.50mm_Drill1.0mm",30.000000,-60.000000,0.000000,top
"TP2","BUS1#","TestPoint_Loop_D2.50mm_Drill1.0mm",38.000000,-60.000000,0.000000,top
"TP3","BUS2#","TestPoint_Loop_D2.50mm_Drill1.0mm",46.000000,-60.000000,0.000000,top
"TP4","BUS3#","TestPoint_Loop_D2.50mm_Drill1.0mm",54.000000,-60.000000,0.000000,top
"TP5","CLK","TestPoint_Loop_D2.50mm_Drill1.0mm",62.000000,-60.000000,0.000000,top
"TP6","RST","TestPoint_Loop_D2.50mm_Drill1.0mm",70.000000,-60.000000,0.000000,top
