"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"C3,C4","1u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2"
"D1-D16","LED","LED_THT:LED_D3.0mm","16"
"D17,D18","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"Q1-Q20","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","20"
"R1-R16,R18,R20","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","18"
"R17,R19","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"R21-R36,R56,R61","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","18"
"R37-R53,R58","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","18"
"R54,R59","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"R55,R60","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"R57,R62","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","2"
"SW1","OI IO II PCE PCL FI HLT MAI (switch up = 1)","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW2","MI MO WRL WRH ONE F0 F1 INP","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW3","CLK","Button_Switch_THT:SW_PUSH_6mm","1"
"SW4","RST","Button_Switch_THT:SW_PUSH_6mm","1"
