Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",95.000000,-16.500000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",95.000000,-26.000000,-90.000000,top
"D1","LED","LED_D3.0mm",11.540000,-22.350000,90.000000,top
"D2","LED","LED_D3.0mm",11.540000,-37.590000,90.000000,top
"D3","LED","LED_D3.0mm",19.220000,-22.350000,90.000000,top
"D4","LED","LED_D3.0mm",19.220000,-37.590000,90.000000,top
"D5","LED","LED_D3.0mm",26.900000,-22.350000,90.000000,top
"D6","LED","LED_D3.0mm",26.900000,-37.590000,90.000000,top
"D7","LED","LED_D3.0mm",34.580000,-22.350000,90.000000,top
"D8","LED","LED_D3.0mm",34.580000,-37.590000,90.000000,top
"D9","LED","LED_D3.0mm",42.260000,-22.350000,90.000000,top
"D10","LED","LED_D3.0mm",42.260000,-37.590000,90.000000,top
"D11","LED","LED_D3.0mm",49.940000,-22.350000,90.000000,top
"D12","LED","LED_D3.0mm",49.940000,-37.590000,90.000000,top
"D13","LED","LED_D3.0mm",57.620000,-22.350000,90.000000,top
"D14","LED","LED_D3.0mm",57.620000,-37.590000,90.000000,top
"D15","LED","LED_D3.0mm",65.300000,-22.350000,90.000000,top
"D16","LED","LED_D3.0mm",65.300000,-37.590000,90.000000,top
"J1","BUS","IDC-Header_2x32_P2.54mm_Vertical",10.630000,-7.500000,90.000000,top
"Q1","2N7000","TO-92_Inline_Wide",9.000000,-26.795000,0.000000,top
"Q2","2N7000","TO-92_Inline_Wide",9.000000,-42.035000,0.000000,top
"Q3","2N7000","TO-92_Inline_Wide",21.760000,-26.795000,180.000000,top
"Q4","2N7000","TO-92_Inline_Wide",21.760000,-42.035000,180.000000,top
"Q5","2N7000","TO-92_Inline_Wide",24.360000,-26.795000,0.000000,top
"Q6","2N7000","TO-92_Inline_Wide",24.360000,-42.035000,0.000000,top
"Q7","2N7000","TO-92_Inline_Wide",37.120000,-26.795000,180.000000,top
"Q8","2N7000","TO-92_Inline_Wide",37.120000,-42.035000,180.000000,top
"Q9","2N7000","TO-92_Inline_Wide",39.720000,-26.795000,0.000000,top
"Q10","2N7000","TO-92_Inline_Wide",39.720000,-42.035000,0.000000,top
"Q11","2N7000","TO-92_Inline_Wide",52.480000,-26.795000,180.000000,top
"Q12","2N7000","TO-92_Inline_Wide",52.480000,-42.035000,180.000000,top
"Q13","2N7000","TO-92_Inline_Wide",55.080000,-26.795000,0.000000,top
"Q14","2N7000","TO-92_Inline_Wide",55.080000,-42.035000,0.000000,top
"Q15","2N7000","TO-92_Inline_Wide",67.840000,-26.795000,180.000000,top
"Q16","2N7000","TO-92_Inline_Wide",67.840000,-42.035000,180.000000,top
"Q17","2N7000","TO-92_Inline_Wide",70.440000,-20.445000,0.000000,top
"Q18","2N7000","TO-92_Inline_Wide",70.440000,-25.525000,0.000000,top
"Q19","2N7000","TO-92_Inline_Wide",70.440000,-33.780000,0.000000,top
"Q20","2N7000","TO-92_Inline_Wide",70.440000,-38.860000,0.000000,top
"Q21","2N7000","TO-92_Inline_Wide",70.440000,-47.115000,0.000000,top
"Q22","2N7000","TO-92_Inline_Wide",70.440000,-52.195000,0.000000,top
"Q23","2N7000","TO-92_Inline_Wide",83.200000,-19.810000,180.000000,top
"Q24","2N7000","TO-92_Inline_Wide",83.200000,-24.890000,180.000000,top
"Q25","2N7000","TO-92_Inline_Wide",83.200000,-33.145000,180.000000,top
"Q26","2N7000","TO-92_Inline_Wide",83.200000,-38.225000,180.000000,top
"Q27","2N7000","TO-92_Inline_Wide",83.200000,-46.480000,180.000000,top
"Q28","2N7000","TO-92_Inline_Wide",83.200000,-51.560000,180.000000,top
"Q29","2N7000","TO-92_Inline_Wide",85.800000,-20.445000,0.000000,top
