"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"D1-D5","LED","LED_THT:LED_D3.0mm","5"
"D6-D37","1N4148","Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp","32"
"J1","BUS","Connector_IDC:IDC-Header_2x32_P2.54mm_Vertical","1"
"J2","P7","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J3","P6","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J4","P5","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J5","P4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J6","G3","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"J7","G2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1"
"Q1-Q41","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","41"
"R1-R16,R18,R20,R22","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","19"
"R17,R19,R21,R23","3.3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","4"
"R24-R28","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","5"
"SW1","WORD 0","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW2","WORD 1","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW3","WORD 2","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
"SW4","WORD 3","Button_Switch_THT:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm","1"
