Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",95.000000,-16.500000,-90.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",95.000000,-26.000000,-90.000000,top
"D1","LED","LED_D3.0mm",42.260000,-22.350000,90.000000,top
"D2","LED","LED_D3.0mm",42.260000,-37.590000,90.000000,top
"D3","LED","LED_D3.0mm",42.260000,-52.830000,90.000000,top
"D4","LED","LED_D3.0mm",42.260000,-68.070000,90.000000,top
"D5","LED","LED_D3.0mm",49.940000,-22.350000,90.000000,top
"D6","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-34.000000,180.000000,top
"D7","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-36.540000,180.000000,top
"D8","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-39.080000,180.000000,top
"D9","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-41.620000,180.000000,top
"D10","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-44.160000,180.000000,top
"D11","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-46.700000,180.000000,top
"D12","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-49.240000,180.000000,top
"D13","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-51.780000,180.000000,top
"D14","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-34.000000,180.000000,top
"D15","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-36.540000,180.000000,top
"D16","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-39.080000,180.000000,top
"D17","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-41.620000,180.000000,top
"D18","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-44.160000,180.000000,top
"D19","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-46.700000,180.000000,top
"D20","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-49.240000,180.000000,top
"D21","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-51.780000,180.000000,top
"D22","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-60.000000,180.000000,top
"D23","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-62.540000,180.000000,top
"D24","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-65.080000,180.000000,top
"D25","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-67.620000,180.000000,top
"D26","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-70.160000,180.000000,top
"D27","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-72.700000,180.000000,top
"D28","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-75.240000,180.000000,top
"D29","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",69.700000,-77.780000,180.000000,top
"D30","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-60.000000,180.000000,top
"D31","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-62.540000,180.000000,top
"D32","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-65.080000,180.000000,top
"D33","1N4148","D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp",86.700000,-67.620000,180.000000,top
