"Reference","Value","Footprint","QUANTITY"
"C1","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1"
"D1","LED","LED_THT:LED_D3.0mm","1"
"J1","5V IN","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J2","IN N1 N2 N3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1"
"Q1-Q26","2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","26"
"R1-R4","1Meg","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","4"
"R5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
"R6-R25","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","20"
"R26","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","1"
"TP1","TP_RING","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP2","TP_FO1","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP3","TP_FO10","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP4","TP_NAND","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP5","TP_NOR","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
"TP6","TP_BUS","TestPoint:TestPoint_Loop_D2.50mm_Drill1.0mm","1"
